movie_id,primary_title,original_title,start_year,runtime_minutes,genres,clean_title,averagerating,numvotes,domestic_gross,foreign_gross,production_budget,worldwide_gross,release_date,release_year,release_month
tt1849824,Mr. Bricks: A Heavy Metal Murder Musical,Mr. Bricks: A Heavy Metal Murder Musical,2011,71.0,"Crime,Horror,Musical",mr. bricks: a heavy metal murder musical,3.1,148,,,,,,,
tt1849844,Puzzled Love,Puzzled Love,2011,84.0,"Comedy,Drama,Romance",puzzled love,6.0,259,,,,,,,
tt1849856,"No Autumn, No Spring","Sin otoño, sin primavera",2012,115.0,Drama,"no autumn, no spring",6.5,114,,,,,,,
tt1849858,Thirteen 59,Sizdah 59,2011,90.0,"Drama,War",thirteen 59,4.8,296,,,,,,,
tt1850363,Ertkhel Shua Qalaqshi,Ertkhel Shua Qalaqshi,2011,90.0,"Action,Adventure,Comedy",ertkhel shua qalaqshi,7.0,86,,,,,,,
tt1850394,Les seigneurs,Les seigneurs,2012,97.0,"Comedy,Sport",les seigneurs,5.3,3065,,,,,,,
tt1850397,The Loft,The Loft,2014,108.0,"Mystery,Romance,Thriller",the loft,6.3,46961,6000000.0,4099999.0,,,,,
tt1850418,To Write Love on Her Arms,To Write Love on Her Arms,2012,102.0,"Biography,Drama,Fantasy",to write love on her arms,6.6,2676,,,3400000.0,0.0,2015-03-03,2015.0,3.0
tt1850419,Rhino Season,Fasle kargadan,2012,88.0,"Drama,History,Thriller",rhino season,6.5,5561,,,,,,,
tt1850451,The Tradesmen,The Tradesmen,2011,89.0,"Documentary,Drama,History",the tradesmen,8.6,133,,,,,,,
tt1850457,Sisters,Sisters,2015,118.0,Comedy,sisters,6.0,58994,87000000.0,18000000.0,30000000.0,106030660.0,2015-12-18,2015.0,12.0
tt1851006,Goltzius and the Pelican Company,Goltzius and the Pelican Company,2012,128.0,"Biography,Comedy,History",goltzius and the pelican company,6.7,981,,,,,,,
tt1851050,Silvio Forever,Silvio Forever,2011,80.0,"Biography,Documentary",silvio forever,6.0,238,,,,,,,
tt1851085,Wild 7,Wairudo 7,2011,109.0,Action,wild 7,5.7,310,,,,,,,
tt1851848,Another Kind,Another Kind,2013,76.0,"Horror,Thriller",another kind,5.1,435,,,,,,,
tt1851871,Choyleefut: Speed of Light,Cai li fu,2011,93.0,"Action,Comedy,Drama",choyleefut: speed of light,4.4,455,,,,,,,
tt1851880,Crebinsky,Crebinsky,2011,85.0,Comedy,crebinsky,6.1,119,,,,,,,
tt1851909,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi,2011,108.0,"Action,Adventure,Animation",doraemon: nobita and the new steel troops: ~winged angels~,7.2,380,,,,,,,
tt1851974,Invisible Empire,Invisible Empire: A New World Order Defined,2010,134.0,Documentary,invisible empire,7.1,274,,,,,,,
tt1851988,Ko,Ko,2011,128.0,"Action,Thriller",ko,7.8,4522,,,,,,,
tt1852006,The Snows of Kilimanjaro,Les neiges du Kilimandjaro,2011,107.0,Drama,the snows of kilimanjaro,7.2,3435,,,,,,,
tt1852036,Mr Perfect,Mr Perfect,2011,144.0,"Action,Drama,Romance",mr perfect,7.1,2623,,,,,,,
tt1852040,Zhauzhürek myng bala,Zhauzhürek myng bala,2012,132.0,"Action,Adventure,Drama",zhauzhürek myng bala,6.6,688,,,,,,,
tt1852097,Circle of Lies,Circle of Lies,2012,82.0,Drama,circle of lies,4.9,224,,,,,,,
tt1852110,Sunflower Hour,Sunflower Hour,2011,90.0,Comedy,sunflower hour,6.7,66,,,,,,,
tt1852137,The Paranormal Diaries: Clophill,The Paranormal Diaries: Clophill,2013,88.0,Horror,the paranormal diaries: clophill,3.5,534,,,,,,,
tt1852154,Trattoria,Trattoria,2012,82.0,Comedy,trattoria,6.1,138,,,,,,,
tt1852770,Dracula 3D,Dracula 3D,2012,110.0,"Horror,Romance,Thriller",dracula 3d,3.6,3680,,,,,,,
tt1852904,Overheard 2,Sit ting fung wan 2,2011,121.0,"Action,Drama,Thriller",overheard 2,6.7,1485,,,,,,,
tt1852947,The Sacred,The Sacred,2012,82.0,"Horror,Thriller",the sacred,4.1,347,,,,,,,
tt1852949,Top Priority: The Terror Within,Top Priority: The Terror Within,2012,98.0,"Crime,Documentary,Drama",top priority: the terror within,8.2,114,,,,,,,
tt1852977,CO2,CO2,2010,120.0,"Action,Adventure,Drama",co2,3.1,204,,,,,,,
tt1853544,Die schwarzen Brüder,Die schwarzen Brüder,2013,100.0,"Drama,Family",die schwarzen brüder,6.0,336,,,,,,,
tt1853548,Dreamworld,Dreamworld,2012,92.0,"Comedy,Drama,Romance",dreamworld,6.2,189,,,,,,,
tt1853555,Ex-Girlfriends,Ex-Girlfriends,2012,72.0,"Comedy,Drama",ex-girlfriends,4.6,295,,,,,,,
tt1853563,Foo Fighters: Back and Forth,Foo Fighters: Back and Forth,2011,101.0,"Documentary,Music",foo fighters: back and forth,8.3,5524,,,,,,,
tt1853565,Found Footage,Found Footage,2011,64.0,Horror,found footage,4.8,73,,,,,,,
tt1853614,A Letter to Momo,Momo e no tegami,2011,120.0,"Adventure,Animation,Comedy",a letter to momo,7.3,5741,71700.0,6700000.0,,,,,
tt1853620,My Father and the Man in Black,My Father and the Man in Black,2012,87.0,"Biography,Documentary,Music",my father and the man in black,6.5,255,,,,,,,
tt1853643,Why Stop Now?,Why Stop Now?,2012,85.0,"Comedy,Drama",why stop now?,5.6,7038,,,,,,,
tt1853728,Django Unchained,Django Unchained,2012,165.0,"Drama,Western",django unchained,8.4,1211405,162800000.0,262600000.0,100000000.0,449948323.0,2012-12-25,2012.0,12.0
tt1853739,You're Next,You're Next,2011,95.0,"Action,Comedy,Horror",you're next,6.6,79451,18500000.0,,1000000.0,26887177.0,2013-08-23,2013.0,8.0
tt1854236,Love Is All You Need,Den skaldede frisør,2012,116.0,"Comedy,Drama,Romance",love is all you need,6.5,12240,1600000.0,8400000.0,,,,,
tt1854244,Battle of Britain: The Real Story,Battle of Britain: The Real Story,2010,59.0,Documentary,battle of britain: the real story,7.7,67,,,,,,,
tt1854364,The Union,The Union,2011,,Documentary,the union,7.4,117,,,,,,,
tt1854506,Aliens vs. Avatars,Aliens vs. Avatars,2011,80.0,"Horror,Sci-Fi",aliens vs. avatars,1.6,1544,,,,,,,
tt1854513,Blancanieves,Blancanieves,2012,104.0,"Drama,Fantasy",blancanieves,7.6,9746,280000.0,,,,,,
tt1854518,City of God,City of God,2011,145.0,Drama,city of god,7.2,485,,,,,,,
tt1854522,Dunderland,Dunderland,2012,78.0,Horror,dunderland,2.9,204,,,,,,,
tt1854524,Ecumenopolis: City Without Limits,Ekümenopolis: Ucu olmayan sehir,2011,88.0,Documentary,ecumenopolis: city without limits,8.0,1014,,,,,,,
tt1854533,French Kiss,French Kiss,2011,,Romance,french kiss,5.6,159,,,,,,,
tt1854535,Keep Smiling,Gaigimet,2012,90.0,"Comedy,Drama",keep smiling,7.2,541,,,,,,,
tt1854551,Looking for Lenny,Looking for Lenny,2011,65.0,Documentary,looking for lenny,6.1,138,,,,,,,
